,M.S.Sivakumar,"Chairman, Steering Committee",https://apm.iitm.ac.in/assets/img/demo/sivakumar.jpg,,
,Ligy Philip,Dean (Planning),http://www.civil.iitm.ac.in/images/ligy.jpg,,
,R.Nagarajan,Dean (I & AR),http://www.che.iitm.ac.in/~nag/wp-content/uploads/2017/09/cropped-cropped-nagg.png,,
,Koshy Varghese,Dean (Administration),http://www.civil.iitm.ac.in/people/faculty/koshy/koshy-pp.jpg,,
,V.Jagadeeshkumar,Dean (Academics),http://www.ee.iitm.ac.in/~vjkumar/vjk.jpg,,
,P.Sriram,Registrar ,,,
,P.N.Santhosh,"Convener, Steering Committee",Advisor - Santosh P N.jpg,1eptb_TavwAhnfrUVrxZlx697qu5RS9b1,
,K.P Sudheer,"Co-Convener, Steering Committee",http://www.civil.iitm.ac.in/images/sudheer.jpg,,
,"Ashwin Mahalingam,","Chairman,Lawn Tennis Match Arrangement Committee",Ashwin Mahalingam.jpg,1sSIL49HQnt8KvbMeGeykb3BZg1BwIPu6,
,P.Raju,Organising Secretary,,,
,Nandita Dasgupta,Cultural Advisor,http://www.ee.iitm.ac.in/~nand/nandita.jpg,,
,Arockiarajan,Co-Curricular Advisor,https://home.iitm.ac.in/aarajan/images/arajan.jpg,,
,Somanath Roy,"member, Organising Team",,,
,K.Murali,"Chairman, Infrastructure Development Committee",http://www.doe.iitm.ac.in/murali/wp-content/uploads/sites/24/2015/01/prof_murali-110x130.jpg,,
,Satya Gummadi,"Chairman, Accommodation And Hospitality Committee",https://biotech.iitm.ac.in/wp-content/uploads/2014/06/sathyanarayana-gummadi-e1403274535409-225x300.jpg,,
,Shiva Nagendra,"Chairman, Finance & Sponsorship Committee",http://www.civil.iitm.ac.in/images/shivanagendra.jpg,,
,Sudharshan Padmanabhan,"Chairman, QMS",https://hss.iitm.ac.in/images/facultyphotos/sudarsan.jpg,,
,P.Murugavel,"Chairman, Souvenir & Publication Committee",https://physics.iitm.ac.in/images/profilepics_540944fbb345a.jpg,,
,V.Subrahmanian,"Chairman, Inaugaration and Valedictory Function Committee",http://www.physics.iitm.ac.in/~manianvs/images/manianv1.jpg,,
,A.Gopalakrishna,"Chairman, Food and Catering Committee",Gopalakrishnan.jpg,1qZaVNX184snJ-d_3RG6NgE6Xhujbpz_O,Gopalakrishnan.jpg
,"Sarathi, M","Chairman, Security and Volunteers Committee",Sarathi.jpg,,
,Mahaveer Kumar Jain,"Chairman, Transportation Committee",https://physics.iitm.ac.in/images/profilepics_54094219a223b.jpg,,
,Sundarajan Natarajan,"Chairman, General Arrangement Committee",Sundar .jpg,1_ZYTuPSMkcytu88LCeEmb0PufHTTjWD8,
,Lt. Col. Jayakumar,"Chairman, General Coordination Committee",,,
,Elumalai.N,Security and Fire Officer,,,
,Dr.Mahalakshmi,"Chairman,Medical Emergency and First Aid",http://hospital.iitm.ac.in/wp-content/uploads/2013/03/mahalakshmi.jpg,,
,Dhyaneshwaran,"Secretary, Sports",,,
,K Arul Prakash,"Chairman,Volleyball Match Arrangement Committee",k arul Prakash.jpg,1vxowwa9De8xTIMMR8NV0RwrQWB6FT9PI,
,Sundarajan Natarajan,"Chairman,Basketball and Weightlifting Match Arrangement Committee",,,
,A.V.Jayanthan,"Chairman,Aquatics Match Arrangement Committee",,,
,Dillip Satapathy,"Chairman, Hockey Match Arrangement Committee",,,
,Ashwin Mahalingam,"Chairman,Lawn Tennis Match Arrangement Committee",,,
,Mahaveer Kumar Jain,"Chairman,Table Tennis Match Arrangement Committee",,,
,Rajesh Narayanan,"Chairman,Cricket Match Arrangement committee",,,
,Venu Chandra,"Chairman,Badminton Match Arrangement Committee",Venu Chandra.jpg,11RK9ktwg7EOtoyT1s1phmjJuL-sc4w9z,
,Sachin Gunte,"Chairman,Football Match Arrangement Committee",,,
,Sriram Srinivasan,"Chairman,Athletics Match Arrangement Committee",,,
,Preethi Aghalyam,"Chairman,Women Contingents Overall Arrangement Committee",,,
,A.Gopalakrishna,"Chairman,Squash Match Arrangement Commmitte",,,
,Physical Education Officer,Organising Team Member,,,
,Dr. Ravanan. D,PTI Gr.I,,,
,"Dr.Lawrence Gray Kumar, V",PTI Gr.I,,,
,Mr.Jayvel. M,PTI,,,
,Sri. Mohanraj,Jr. Asst.,G Mohanraj.jpg,,
,Mr.Viswanath K,"Member, Organising Team",,,
,Mr. Srinivasan,"Member, Organising Team",,,
,Mr.Dharmarajan,"Member, Organising Team",,,
,Mr.Manickavasangam,"Member, Organising Team",,,
,Mr.Ravichandran,"Member, Organising Team",,,
,Mr.Ajay Krishnan,"Member, Organising Team",,,
,Mr.Rajavel,"Member, Organising Team",,,
,Mr.Narayana Perumal,"Member, Organising Team",,,
,Mr.Karunakaran,"Member, Organising Team",,,
,Mr.Swaminathan,"Member, Organising Team",,,
